slot_id,symbol,day,bucket,month,n,mean_pnl,total_pnl,cumulative_pnl,pct_of_slot_total
906,NQ,Fri,24,2026-03,138,-6.8478,-945.0,-19705.0,1.42
906,NQ,Fri,24,2026-04,103,-215.3398,-22180.0,-41885.0,33.21
906,NQ,Fri,24,2026-05,159,-27.4528,-4365.0,-46250.0,6.54
906,NQ,Fri,24,2026-06,116,-107.1983,-12435.0,-58685.0,18.62
906,NQ,Fri,24,2026-07,220,-36.7955,-8095.0,-66780.0,12.12
648,FDAX,Thu,46,2025-07,4,-962.5,-3850.0,-3850.0,21.54
648,FDAX,Thu,46,2025-08,7,-242.8571,-1700.0,-5550.0,9.51
648,FDAX,Thu,46,2025-10,3,-33.3333,-100.0,-5650.0,0.56
648,FDAX,Thu,46,2025-11,2,325.0,650.0,-5000.0,-3.64
648,FDAX,Thu,46,2025-12,3,241.6667,725.0,-4275.0,-4.06
648,FDAX,Thu,46,2026-01,8,515.625,4125.0,-150.0,-23.08
648,FDAX,Thu,46,2026-02,2,-1687.5,-3375.0,-3525.0,18.88
648,FDAX,Thu,46,2026-03,2,525.0,1050.0,-2475.0,-5.87
648,FDAX,Thu,46,2026-05,11,-1161.3636,-12775.0,-15250.0,71.47
648,FDAX,Thu,46,2026-07,1,-2625.0,-2625.0,-17875.0,14.69
