symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,avg_pnl_trade,std_pnl,wins,win_rate
FDAX,Fri,11:00,11,IPSTMUD1,38,12875.0,338.8157894736842,1230.3413249826938,28,73.68421052631578
FDAX,Fri,12:00,12,IPS_TM_3,22,-19100.0,-868.1818181818181,2594.272329141433,15,68.18181818181817
FDAX,Fri,13:00,13,IPSTMUD1,39,13050.0,334.61538461538464,1033.6861636977847,30,76.92307692307693
FDAX,Fri,14:00,14,IPSTMUD1,31,275.0,8.870967741935484,743.4869531218188,20,64.51612903225806
FDAX,Fri,15:00,15,IPS_TM_8,34,-2450.0,-72.05882352941177,1180.3755935673537,22,64.70588235294117
FDAX,Mon,00:00,0,IPS_TM_8,25,3725.0,149.0,1236.8996860430248,17,68.0
FDAX,Mon,01:00,1,IPSTMUD1,17,2850.0,167.64705882352942,568.974180123368,13,76.47058823529412
FDAX,Mon,02:00,2,TS_2,16,2675.0,167.1875,2389.346471841202,12,75.0
FDAX,Mon,03:00,3,TM_10,334,1525.0,4.565868263473054,1099.0234705143635,212,63.47305389221557
FDAX,Mon,04:00,4,IPSTMUD1,26,5600.0,215.3846153846154,1088.9462090268032,20,76.92307692307693
FDAX,Mon,05:00,5,TS_2,18,10725.0,595.8333333333334,1275.8287387373884,15,83.33333333333334
FDAX,Mon,06:00,6,IPS_TM_3,51,500.0,9.803921568627452,1287.6148340184316,34,66.66666666666666
FDAX,Mon,07:00,7,TS_2,44,41675.0,947.1590909090909,3744.252245920168,33,75.0
FDAX,Mon,08:00,8,IPSTMUD1,53,3725.0,70.28301886792453,989.4644117936208,41,77.35849056603774
FDAX,Mon,09:00,9,TS_2,45,-300.0,-6.666666666666667,1529.9509796068633,29,64.44444444444444
FDAX,Mon,10:00,10,IPSTMUD1,35,4075.0,116.42857142857143,989.5212533969999,26,74.28571428571429
FDAX,Mon,11:00,11,IPSPB1,48,19475.0,405.7291666666667,1244.8643391795722,33,68.75
FDAX,Mon,12:00,12,IPS_TM_12,14,10650.0,760.7142857142857,1036.1594344628502,12,85.71428571428571
FDAX,Mon,13:00,13,IPS_TM_5dupli,46,8650.0,188.04347826086956,1414.93756370334,35,76.08695652173914
