slot_id,year_month,mean_pnl,n_trades,total_pnl,label,is_holdout
587,2025-12,-446.42857142857144,7,-3125.0,FDAX Wed Bkt27,True
587,2026-01,-103.33333333333333,15,-1550.0,FDAX Wed Bkt27,True
587,2026-02,144.375,40,5775.0,FDAX Wed Bkt27,True
587,2026-03,-621.1538461538462,39,-24225.0,FDAX Wed Bkt27,True
587,2026-04,795.2380952380952,42,33400.0,FDAX Wed Bkt27,True
587,2026-05,-1125.0,7,-7875.0,FDAX Wed Bkt27,True
587,2026-06,-196.875,8,-1575.0,FDAX Wed Bkt27,True
587,2026-07,290.0,5,1450.0,FDAX Wed Bkt27,True
648,2024-06,475.0,3,1425.0,FDAX Thu Bkt46,False
648,2024-07,-470.8333333333333,6,-2825.0,FDAX Thu Bkt46,False
648,2024-08,-161.8421052631579,19,-3075.0,FDAX Thu Bkt46,False
648,2024-09,1212.5,2,2425.0,FDAX Thu Bkt46,False
648,2024-10,625.0,18,11250.0,FDAX Thu Bkt46,False
648,2024-11,-275.0,23,-6325.0,FDAX Thu Bkt46,False
648,2024-12,725.0,7,5075.0,FDAX Thu Bkt46,False
648,2025-01,425.0,8,3400.0,FDAX Thu Bkt46,False
648,2025-02,570.8333333333334,6,3425.0,FDAX Thu Bkt46,False
648,2025-03,763.8888888888889,18,13750.0,FDAX Thu Bkt46,False
648,2025-04,1156.25,8,9250.0,FDAX Thu Bkt46,False
648,2025-05,-675.0,1,-675.0,FDAX Thu Bkt46,False
648,2025-06,-300.0,1,-300.0,FDAX Thu Bkt46,False
648,2025-07,-962.5,4,-3850.0,FDAX Thu Bkt46,True
648,2025-08,-242.85714285714286,7,-1700.0,FDAX Thu Bkt46,True
648,2025-10,-33.333333333333336,3,-100.0,FDAX Thu Bkt46,True
648,2025-11,325.0,2,650.0,FDAX Thu Bkt46,True
648,2025-12,241.66666666666666,3,725.0,FDAX Thu Bkt46,True
648,2026-01,515.625,8,4125.0,FDAX Thu Bkt46,True
648,2026-02,-1687.5,2,-3375.0,FDAX Thu Bkt46,True
648,2026-03,525.0,2,1050.0,FDAX Thu Bkt46,True
648,2026-05,-1161.3636363636363,11,-12775.0,FDAX Thu Bkt46,True
648,2026-07,-2625.0,1,-2625.0,FDAX Thu Bkt46,True
675,2024-05,373.0769230769231,13,4850.0,FDAX Fri Bkt25,False
675,2024-06,-222.5,50,-11125.0,FDAX Fri Bkt25,False
675,2024-07,142.24137931034483,29,4125.0,FDAX Fri Bkt25,False
675,2024-08,-248.09941520467837,171,-42425.0,FDAX Fri Bkt25,False
675,2024-09,1.2295081967213115,122,150.0,FDAX Fri Bkt25,False
675,2024-10,399.35897435897436,39,15575.0,FDAX Fri Bkt25,False
675,2024-11,112.71186440677967,177,19950.0,FDAX Fri Bkt25,False
675,2024-12,-234.91379310344828,58,-13625.0,FDAX Fri Bkt25,False
675,2025-01,1037.878787878788,66,68500.0,FDAX Fri Bkt25,False
675,2025-02,1020.1198630136986,292,297875.0,FDAX Fri Bkt25,False
675,2025-03,1.7045454545454546,308,525.0,FDAX Fri Bkt25,False
675,2025-04,-126.5625,80,-10125.0,FDAX Fri Bkt25,False
675,2025-05,-194.0,25,-4850.0,FDAX Fri Bkt25,False
675,2025-06,700.0,14,9800.0,FDAX Fri Bkt25,False
