NCP Model -- Fold 3
Changes: NCP all levels, alpha_sigma=0.5x, tune=2000, accept=0.95
R-hat max: 18.6331  gate<1.05 -> FAIL
ESS min:   4   gate>400 -> FAIL
Convergence: FAIL

                       mean       sd   hdi_3%   hdi_97%  ess_bulk  ess_tail    r_hat
alpha              -38.0507   0.5698 -38.6811  -37.2302    4.0554    4.0323  13.8743
beta_slot_raw[127]  -0.4974   0.1606  -0.7572   -0.3275    4.0460    4.0323  18.2809
beta_slot_raw[128]  -0.3884   0.4039  -0.8478    0.1831    4.3083   26.0233   9.4866
beta_slot_raw[129]   0.4126   0.4548  -0.3119    0.9408    4.0807    4.0323   9.5243
beta_slot_raw[130]  -0.2303   0.3962  -0.5789    0.4430    4.2454   19.2021  11.2347
beta_slot_raw[131]  -0.0915   0.5686  -0.9075    0.4553    4.0716    4.0323  10.7338
beta_slot_raw[132]   0.0651   0.4969  -0.4482    0.8221    4.3232   26.3256   8.8333
beta_slot_raw[133]  -0.1614   0.4580  -0.8356    0.4101    4.0627    4.0323  12.3472
beta_slot_raw[134]   0.0790   0.6496  -0.7489    0.9096    4.0827    4.0323   9.6204
beta_slot_raw[135]  -0.1610   0.2857  -0.4521    0.2402    4.1632    4.0323   5.9970
beta_slot_raw[136]   0.7064   0.2520   0.3118    0.9326    4.0566    4.0323  13.1231
beta_slot_raw[137]  -0.0880   0.4726  -0.5711    0.6552    4.0579    4.0323  12.8063
beta_slot_raw[138]   0.2435   0.3655  -0.1641    0.8061    4.2074   10.8902  11.2448
beta_slot_raw[139]   0.5424   0.2246   0.1892    0.7940    4.0772    4.0323  10.6580
beta_slot_raw[140]   0.0546   0.4397  -0.4837    0.7414    4.2791   12.5665   5.5469
beta_slot_raw[141]   0.3622   0.5861  -0.6281    0.8673    4.3246    4.0323   9.4009
beta_slot_raw[142]  -0.2431   0.4163  -0.9420    0.1475    4.2746    4.0323  10.4157
beta_slot_raw[143]  -0.0549   0.4874  -0.7675    0.5761    4.3157   55.3531   4.0646
beta_slot_raw[144]   0.1482   0.4064  -0.5155    0.4915    4.3469    4.0323   9.4788
beta_slot_raw[145]  -0.5540   0.4463  -0.9334    0.1964    4.2961   27.5921   9.4469
beta_slot_raw[146]   0.0922   0.6114  -0.7878    0.9110    4.0815    4.0323   9.6927
beta_slot_raw[147]   0.3847   0.5168  -0.1815    0.9214    4.0758    4.0323  10.1379
beta_slot_raw[148]   0.1055   0.5366  -0.7628    0.6786    4.0591    4.0323  12.8368
beta_slot_raw[149]  -0.3556   0.4153  -0.8080    0.2934    4.0616    4.0323  12.3739
beta_slot_raw[150]   0.3160   0.4022  -0.3039    0.8139    4.1562    4.0323  16.1835
beta_slot_raw[151]  -0.0031   0.4771  -0.5359    0.7035    4.0531    4.0323  15.1859
beta_slot_raw[152]   0.1077   0.2806  -0.3678    0.3256    4.3221   29.8994   4.1403
beta_slot_raw[153]  -0.1429   0.4297  -0.7733    0.2909    4.3333   42.6607   4.0104
beta_slot_raw[154]  -0.1531   0.4860  -0.8618    0.4004    4.3009    4.0323   8.5616
beta_slot_raw[155]   0.0774   0.5620  -0.7581    0.8169    4.0672    4.0323  11.1301
beta_slot_raw[156]  -0.1345   0.3459  -0.4204    0.4550    4.3380   37.6894   8.5154
beta_slot_raw[157]   0.0702   0.5105  -0.6827    0.7561    4.1756   12.3031   5.6495
beta_slot_raw[158]  -0.4997   0.3751  -0.8903    0.1160    4.0475    4.0323  16.5958
beta_slot_raw[159]  -0.1690   0.3138  -0.5162    0.2119    4.3296    4.0323   4.0425
beta_slot_raw[160]   0.4408   0.4837  -0.1130    0.9312    4.3225    4.0323   8.5603
beta_slot_raw[161]  -0.1904   0.5763  -0.9255    0.6258    4.1477    4.0323   6.1885
beta_slot_raw[162]  -0.4902   0.3809  -0.9297   -0.0462    4.0541    4.0323  15.2638
beta_slot_raw[163]   0.1099   0.4942  -0.2716    0.9553    4.0837    4.0323   9.4093
beta_slot_raw[164]  -0.2272   0.7268  -0.9716    0.9424    4.0574    4.0323  12.9365
beta_slot_raw[165]  -0.1237   0.5927  -0.7829    0.6624    4.2886   16.6485   9.4048
beta_slot_raw[166]   0.2389   0.2708  -0.0028    0.6892    4.2422   12.8498  11.2429
beta_slot_raw[167]   0.5080   0.4719  -0.3085    0.8041    4.0673    4.0323  11.2391
beta_slot_raw[168]   0.1084   0.5471  -0.4293    0.9227    4.0749    4.0323  10.1033
beta_slot_raw[169]  -0.1593   0.5009  -0.8913    0.4751    4.2344    4.0323   9.9861
beta_slot_raw[170]   0.0980   0.6513  -0.9226    0.8860    4.3129   25.7277   3.9978
beta_slot_raw[171]  -0.1619   0.6653  -0.8739    0.6528    4.3113    4.0323   4.0610
beta_slot_raw[172]  -0.4198   0.5607  -0.8735    0.5400    4.1641   11.5358  14.6352
beta_slot_raw[173]  -0.1552   0.5180  -0.6754    0.3898    4.1459   12.8597  16.6929
beta_slot_raw[174]   0.7045   0.1861   0.5268    0.9860    4.0454    4.0323  18.4101
beta_slot_raw[175]  -0.0386   0.4968  -0.7330    0.4945    4.0767    4.0323   9.8605
beta_slot_raw[176]   0.0526   0.6868  -0.8408    0.7878    4.2048    4.0323  11.5164
beta_slot_raw[177]  -0.3101   0.3934  -0.7682    0.0885    4.0721    4.0323  10.3399
beta_slot_raw[178]  -0.3367   0.4357  -0.7894    0.1778    4.0711    4.0323  10.5132
beta_slot_raw[179]   0.4190   0.5560  -0.3309    0.9763    4.0781    4.0323   9.6610
beta_slot_raw[180]  -0.0543   0.5491  -0.7212    0.7897    4.0649    4.0323  11.4087
beta_slot_raw[181]   0.0622   0.7715  -0.7520    0.8362    4.2511   15.2490   4.8295
beta_slot_raw[182]   0.1035   0.7009  -0.9155    0.7759    4.2557    4.0323  10.8523
beta_slot_raw[183]   0.0852   0.6247  -0.7666    0.7860    4.1828    4.0323  14.5114
beta_slot_raw[184]   0.2086   0.4298  -0.2123    0.7873    4.0843    4.0323   9.4659
beta_slot_raw[185]  -0.4327   0.3761  -0.9938    0.0379    4.2096   14.6355   5.1244
