ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	PositionQuantity	OrderActionSource	InternalOrderID	OpenClose	IsAutomated	Symbol	ParentInternalOrderID	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username
Orders	2026-04-06  18:11:13.270370	2026-04-06  18:11:13.270358	42783746	Trailing Stop	1	Open	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Order modification failed | Trading Evaluator (Order cancel/replace reject). Info: Message rate limit reached	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:13.306726	2026-04-06  18:11:13.306721	42783746	Trailing Stop	1	Pending Modify	TM_6	Sell	24296.7500000				IPS(all)+TM(all+last50)	1	Auto trail order modification. Trigger price: 24323.50. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 24310.50. Requested Quantity: 1	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:13.835506	2026-04-06  18:11:13.835499	42783746	Trailing Stop	1	Open	TM_6	Sell	24310.5000000				IPS(all)+TM(all+last50)	1	Trading Evaluator (Cancel/Replace complete). Info: Simulated order modify complete. Text: Tag: IPS(all)+TM(all+last50)	22635535	Close	Y	NQM26					0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:20.597427	2026-04-06  18:11:20.597399	42783746	Trailing Stop	1	Filled	TM_6	Sell	24310.5000000		24310.5000000	1	IPS(all)+TM(all+last50)	1	Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24310.50 Ask: 24312.25 Last: 24310.50. Text: Tag: IPS(all)+TM(all+last50)	22635535	Close	Y	NQM26		42783746.1			0.00	42783746	22635535.18968	Good till Canceled	shimishon
Positions	2026-04-06  18:11:20.597480	00:00:00.000000			1	Unspecified	TM_6								Updated Internal Position Quantity to 0. Previous: 1. Fill of InternalOrderID: 22635535			N	NQM26					0.00				
Fills	2026-04-06  18:11:20.597492	2026-04-06  18:11:25.299000	42783746	Trailing Stop	1	Filled	TM_6	Sell	24310.5000000		24310.5000000	1	IPS(all)+TM(all+last50)		Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24310.50 Ask: 24312.25 Last: 24310.50. Text: Tag: IPS(all)+TM(all+last50)	22635535	Close	Y	NQM26		42783746.1	24326.7500000	24295.2500000	0.00	42783746	22635535.18968	Good till Canceled	shimishon
Positions	2026-04-06  18:11:20.598120	00:00:00.000000				Unspecified	TM_6								Updated Service Position Quantity to 0. Previous: 1			N	NQM26					0.00				
Orders	2026-04-06  18:11:20.672989	2026-04-06  18:11:20.672982	42783746	Trailing Stop	1	Pending Cancel	TM_6	Sell	24310.5000000		24310.5000000	1	IPS(all)+TM(all+last50)		Auto-trade canceled order: NQM26 [CBV][M]  Delta 100v #2 | Autotrader V1.3	22635535	Close	Y	NQM26		42783746.1			0.00	42783746	22635535.18968	Good till Canceled	shimishon
Orders	2026-04-06  18:11:20.673278	2026-04-06  18:11:20.673275	42783336	Limit	1	Open	TM_6	Sell	26021.2500000				IPS(all)+TM(all+last50)		Initiating: Auto-trade: NQM26 [CBV][M]  Delta 100v #2 | Autotrader V1.3 | Canceling all orders | Source: ACSIL Cancel All Orders | Bar start date-time: 2026-04-06  14:10:50.656	22635366	Close	Y	NQM26					0.00	42783336	22635366.29410	Good till Canceled	shimishon
Orders	2026-04-06  18:11:20.673299	2026-04-06  18:11:20.673293	42783336	Limit	1	Pending Cancel	TM_6	Sell	26021.2500000				IPS(all)+TM(all+last50)		Auto-trade: NQM26 [CBV][M]  Delta 100v #2 | Autotrader V1.3 | Canceling all orders | Source: ACSIL Cancel All Orders | Bar start date-time: 2026-04-06  14:10:50.656	22635366	Close	Y	NQM26					0.00	42783336	22635366.29410	Good till Canceled	
